"t_id","probability"
2835,0.423572331667
13152,0.403884768486
9849,0.502470672131
29716,0.459473341703
3795,0.380155801773
10684,0.47814181447
10850,0.495227336884
85,0.473294019699
22785,0.390669316053
19210,0.448454231024
6877,0.43581789732
19291,0.499401479959
7169,0.461807727814
24749,0.41132196784
8109,0.422107905149
29448,0.422875016928
18185,0.415488004684
19293,0.478051781654
5942,0.40900054574
18165,0.528810560703
6307,0.431528866291
8640,0.535242438316
14365,0.531292557716
30278,0.40814435482
28214,0.489667207003
19310,0.414417743683
27885,0.349926650524
25741,0.478238552809
12352,0.526706457138
18528,0.498552620411
25140,0.44138276577
10453,0.390000879765
28217,0.525233507156
4962,0.631568968296
24593,0.342600375414
10847,0.492011666298
28670,0.428189575672
28613,0.499454498291
11031,0.372955083847
9667,0.430404007435
19974,0.413793504238
14696,0.482846200466
7572,0.427546560764
12351,0.429959028959
5966,0.442760497332
8183,0.473477244377
13558,0.506923735142
27107,0.473144590855
5300,0.468645989895
20254,0.389665842056
7541,0.49759837985
19631,0.49697881937
12581,0.488086223602
22203,0.469636887312
14573,0.4657343328
8562,0.455259561539
16125,0.465255498886
12157,0.491515487432
359,0.467717051506
26392,0.444652706385
9336,0.450982272625
18452,0.366706073284
3267,0.371142983437
17886,0.388864517212
1216,0.425466835499
30153,0.493674188852
5760,0.467679738998
28058,0.415996044874
7863,0.477578192949
17621,0.381499618292
592,0.480852812529
18683,0.437270909548
11655,0.577358782291
20658,0.478814959526
16896,0.468328088522
11901,0.446950346231
30410,0.399652779102
27377,0.486223727465
22469,0.531388044357
9799,0.395604908466
8184,0.478296875954
4521,0.481134384871
17924,0.41948312521
26329,0.43998876214
27358,0.427833944559
19198,0.42562648654
20618,0.462242782116
22039,0.488443374634
7892,0.485617697239
29113,0.355504214764
15023,0.507544875145
31543,0.566443502903
18986,0.413259148598
28574,0.427995711565
20043,0.487038373947
12555,0.454020708799
22960,0.516081631184
22127,0.411474317312
25051,0.461273103952
4356,0.490711241961
15677,0.416181921959
29316,0.460446417332
24589,0.402338892221
8889,0.376594632864
10751,0.448175519705
12542,0.445236414671
16687,0.55307674408
29519,0.355187594891
2801,0.457655787468
16878,0.452929973602
8852,0.523652493954
23213,0.499498069286
11047,0.448390245438
23490,0.453327089548
23546,0.469444006681
20467,0.419502168894
28251,0.411776036024
1017,0.472005784512
24811,0.441047787666
6971,0.453893750906
27405,0.434592962265
20232,0.422691136599
4151,0.562618434429
17102,0.507382154465
16345,0.496722489595
19233,0.394842743874
31180,0.470642536879
9918,0.463348031044
5280,0.355431765318
29644,0.441518992186
26882,0.453862577677
11587,0.477847069502
491,0.457584619522
21843,0.506975412369
22816,0.407298594713
25729,0.406097024679
6236,0.448892295361
16646,0.4876306355
20111,0.467315524817
20686,0.367207735777
15796,0.421381026506
29847,0.43825545907
8905,0.486857116222
3158,0.431735575199
3934,0.4831135571
3664,0.467728167772
26551,0.387691676617
29442,0.559631586075
20264,0.334239691496
26412,0.4793356359
18207,0.586470007896
16383,0.476891160011
3521,0.47277623415
10588,0.478502094746
7825,0.39095684886
13128,0.473526149988
13209,0.419987201691
25989,0.470753848553
13967,0.428660511971
29880,0.485067367554
29187,0.46679776907
27810,0.428174436092
22680,0.445005536079
19596,0.459525823593
2750,0.412616610527
16350,0.487339705229
2166,0.456331431866
16669,0.442121624947
7229,0.409989953041
15045,0.45757779479
3080,0.47853025794
22242,0.393653303385
15066,0.346106857061
20847,0.392762511969
17148,0.444044023752
14593,0.557518780231
3834,0.394861251116
24942,0.387143164873
11841,0.481609672308
17737,0.459515810013
10259,0.509962081909
15723,0.350980132818
8346,0.451851516962
8919,0.493918031454
19120,0.368928670883
2133,0.418384373188
7640,0.484167277813
